code,name,category,description,target,Options
ALQ120Q,How often drink alcohol over past 12 mos,ALQ,"In the past 12 months, how often did {you/SP} drink any type of alcoholic beverage? PROBE: How many days per week, per month, or per year did {you/SP} drink?",0 to 366,"{'0 to 350': 'Range of Values', '0 to 360': 'Range of Values', '0 to 365': 'Range of Values', '777': 'Refused', '999': ""Don't know"", '.': 'Missing'}"
ALQ120U,"# days drink alcohol per wk, mo, yr",ALQ,UNIT OF MEASURE.,"Both males and females 18 YEARS -
			150 YEARS","{'1': 'Week', '2': 'Month', '3': 'Year', '7': 'Refused', '9': ""Don't know"", '.': 'Missing'}"
ALQ130,Avg # alcohol drinks/day - past 12 mos,ALQ,"During the past 12 months, on those days that {you/SP} drank alcoholic beverages, on the average, how many drinks did {you/he/she} have? By a drink, I mean a 12 oz. beer, a 5 oz. glass of wine, or one and a half ounces of liquor.)",1 to 14,"{'1 to 13': 'Range of Values', '1 to 14': 'Range of Values', '1 to 25': 'Range of Values', '1 to 32': 'Range of Values', '1 to 36': 'Range of Values', '1 to 44': 'Range of Values', '1 to 50': 'Range of Values', '1 to 82': 'Range of Values', '1 to 83': 'Range of Values', '15': '15 drinks or more', '77': 'Refused', '777': 'Refused', '99': ""Don't know"", '999': ""Don't know"", '.': 'Missing'}"
ALQ140Q,#days have 5 or more drinks/past 12 mos,ALQ,"In the past 12 months, on how many days did {you/SP} have 5 or more drinks of any alcoholic beverage? PROBE: How many days per week, per month, or per year did {you/SP} have 5 or more drinks in a single day?",0 to 366,"{'0 to 304': 'Range of Values', '0 to 365': 'Range of Values', '777': 'Refused', '7777': 'Refused', '999': ""Don't know"", '9999': ""Don't know"", '.': 'Missing'}"
ALQ151,Ever have 4/5 or more drinks every day?,ALQ,Was there ever a time or times in {your/SP's} life when {you/he/she} drank {DISPLAY NUMBER} or more drinks of any kind of alcoholic beverage almost every day?,"Both males and females 18 YEARS -
			150 YEARS","{'0': 'No', '1': 'Yes', '7': 'Refused', '9': ""Don't know"", '.': 'Missing'}"
AUQ150,Ever worn a hearing aid,AUQ,{Have you/Has SP} ever worn a hearing aid?,"Both males and females 12 YEARS -
			150 YEARS","{'0': 'No', '1': 'Yes', '7': 'Refused', '9': ""Don't know"", '.': 'Missing'}"
AUQ131,General condition of hearing,AUQ,"These next questions are about {your/SP's} hearing.  Which statement best describes {your/SP's} hearing (without a hearing aid)?  Would you say {your/his/her} hearing is excellent, good, that {you have/s/he has} a little trouble, moderate trouble, a lot of trouble, or {are you/is s/he} deaf?","Both males and females 1 YEARS -
			150 YEARS","{'1': 'Excellent', '2': 'Good', '3': 'A little trouble', '4': 'Moderate hearing trouble', '5': 'A lot of trouble', '6': 'Deaf', '7': 'Refused', '9': ""Don't know"", '.': 'Missing'}"
AUQ136,Ever had 3 or more ear infections?,AUQ,{Have you/Has SP} ever had 3 or more ear infections? Please include ear infections {you/he/she} may have had when {you were/he was/she was} a child.,"Both males and females 20 YEARS -
			150 YEARS","{'0': 'No', '1': 'Yes', '7': 'Refused', '9': ""Don't know"", '.': 'Missing'}"
AUQ138,Ever had tube placed in ear?,AUQ,{Have you/Has SP} ever had a tube placed in {your/his/her} ear to drain the fluid from {your/his/her} ear?,"Both males and females 20 YEARS -
			150 YEARS","{'0': 'No', '1': 'Yes', '7': 'Refused', '9': ""Don't know"", '.': 'Missing'}"
AUQ054,General condition of hearing,AUQ,"These next questions are about {your/SP's} hearing. Which statement best describes {your/SP's} hearing (without a hearing aid, personal sound amplifier, or other listening devices)? Would you say {your/his/her} hearing is excellent, good, that {you have/s/he has} a little trouble, moderate trouble, a lot of trouble, or {are you/is s/he} deaf?","Both males and females 1 YEARS -
			150 YEARS","{'1': 'Excellent', '2': 'Good', '3': 'A little trouble', '4': 'Moderate hearing trouble', '5': 'A lot of trouble', '6': 'Deaf', '77': 'Refused', '99': ""Don't know"", '.': 'Missing'}"
BPQ050A,Now taking prescribed medicine for HBP,BPQ,{Are you/Is SP} now taking prescribed medicine?,"Both males and females 16 YEARS -
			150 YEARS","{'0': 'No', '1': 'Yes', '7': 'Refused', '9': ""Don't know"", '.': 'Missing'}"
BPQ060,Ever had blood cholesterol checked,BPQ,{Have you/Has SP} ever had {your/his/her} blood cholesterol checked?,"Both males and females 16 YEARS -
			150 YEARS","{'0': 'No', '1': 'Yes', '7': 'Refused', '9': ""Don't know"", '.': 'Missing'}"
BPQ090D,Told to take prescriptn for cholesterol,BPQ,"[To lower (your/his/her) blood cholesterol, (have/has) (you/SP) ever been told by a doctor or other health professional]... to take prescribed medicine?","Both males and females 16 YEARS -
			150 YEARS","{'0': 'No', '1': 'Yes', '7': 'Refused', '9': ""Don't know"", '.': 'Missing'}"
HSQ500,SP have head cold or chest cold,HSQ,Did {you/SP} have a head cold or chest cold that started during those 30 days?,"Both males and females 1 YEARS -
			150 YEARS","{'0': 'No', '1': 'Yes', '7': 'Refused', '9': ""Don't know"", '.': 'Missing'}"
HSQ590,Blood ever tested for HIV virus?,HSQ,"Except for tests {you/SP} may have had as part of blood donations, {have you/has he/has she} ever had {your/his/her} blood tested for the AIDS virus infection?","Both males and females 16 YEARS -
			150 YEARS","{'0': 'No', '1': 'Yes', '7': 'Refused', '9': ""Don't know"", '.': 'Missing'}"
HSQ470,no. of days physical health was not good,HSQ,"The next questions are about {your/SP's} recent health during the 30 days outlined on the calendar.  Thinking about {your/SP's} physical health, which includes physical illness and injury, for how many days during the past 30 days was {your/his/her} physical health not good?","Both males and females 12 YEARS -
			150 YEARS","{'0 to 30': 'Range of Values', '77': 'Refused', '99': ""Don't know"", '.': 'Missing'}"
DIQ010,Doctor told you have diabetes,DIQ,"The next questions are about specific medical conditions. {Other than during pregnancy, {have you/has SP}/{Have you/Has SP}} ever been told by a doctor or health professional that {you have/{he/she/SP} has} diabetes or sugar diabetes?","Both males and females 1 YEARS -
			150 YEARS","{'1': 'Yes', '2': 'No', '3': 'Borderline', '7': 'Refused', '9': ""Don't know"", '.': 'Missing'}"
DIQ160,Ever told you have prediabetes,DIQ,"{Have you/Has SP} ever been told by a doctor or other health professional that {you have/SP has} any of the following:  prediabetes, impaired fasting glucose, impaired glucose tolerance, borderline diabetes or that {your/her/his} blood sugar is higher than normal but not high enough to be called diabetes or sugar diabetes?","Both males and females 12 YEARS -
			150 YEARS","{'0': 'No', '1': 'Yes', '7': 'Refused', '9': ""Don't know"", '.': 'Missing'}"
DIQ170,Ever told have health risk for diabetes,DIQ,{Have you/Has SP} ever been told by a doctor or other health professional that {you have/s/he has} health conditions or a medical or family history that increases {your/his/her} risk for diabetes?,"Both males and females 12 YEARS -
			150 YEARS","{'0': 'No', '1': 'Yes', '7': 'Refused', '9': ""Don't know"", '.': 'Missing'}"
DIQ180,Had blood tested past three years,DIQ,{Have you/Has SP} had a blood test for high blood sugar or diabetes within the past three years?,"Both males and females 12 YEARS -
			150 YEARS","{'0': 'No', '1': 'Yes', '7': 'Refused', '9': ""Don't know"", '.': 'Missing'}"
DIQ172,Feel could be at risk for diabetes,DIQ,{Do you/Does SP} feel {you/he/she} could be at risk for diabetes or prediabetes?,"Both males and females 12 YEARS -
			150 YEARS","{'0': 'No', '1': 'Yes', '7': 'Refused', '9': ""Don't know"", '.': 'Missing'}"
CBQ505,Eat at fast food/pizza places,DBQ,"{I'll tell you when you will need it.} For the first few questions, please answer yes or no. In the past 12 months, did you buy food from fast food or pizza places? SP interview version: In the past 12 months, did {you/SP} buy food from fast food or pizza places?","Both males and females 16 YEARS -
			150 YEARS","{'0': 'No', '1': 'Yes', '7': 'Refused', '9': ""Don't know"", '.': 'Missing'}"
DBQ915,Self-perceived vegetarian,DBQ,{Do you/Does SP} consider {yourself/himself/herself} to be a vegetarian?,"Both males and females 1 YEARS -
			150 YEARS","{'0': 'No', '1': 'Yes', '7': 'Refused', '9': ""Don't know"", '.': 'Missing'}"
DBQ930,Main meal planner/preparer,DBQ,{Are you/Is SP} the person who does most of the planning or preparing of meals in {your/SP's} family?,"Both males and females 16 YEARS -
			150 YEARS","{'0': 'No', '1': 'Yes', '7': 'Refused', '9': ""Don't know"", '.': 'Missing'}"
