"id","ques_id","short_name","heading","text","ques_type","options","dependents","other_details","created_on","updated_on","is_mandatory","is_nullable","is_html","info","image_url","is_common","text_i18n","short_name_i18n","heading_i18n","info_i18n","nhanes_code"
6087,"14180","","","In the past 12 months, how often did you drink any type of alcoholic beverage?",TEXT_INPUT,"[{}]","{}","{""TEXT"": {""max"": 365, ""min"": 0, ""step"": 1, ""type"": ""NUMERIC"", ""unit"": null, ""regex"": ""[0-9]"", ""condition"": {}, ""frequency"": [""Week"", ""Month"", ""Year""], ""initialize"": 8, ""imperial_unit"": null, ""alternative_unit"": null}, ""null_option_name"": ""Not Applicable""}","2025-11-17 14:41:16","2025-11-25 22:42:21",1,0,0,Please select the time frame and specify the approximate number of times.,"",0,"{}","{}","{}","{}",ALQ120Q
6088,"14181","","","In the past 12 months, how often did you drink any type of alcoholic beverage?",NON_NUMERIC_SLIDER,"[{""text"": ""Week"", ""value"": ""1""}, {""text"": ""Month"", ""value"": ""2""}, {""text"": ""Year"", ""value"": ""3""}]","{}","{""TEXT"": {""max"": 2, ""min"": 0, ""step"": 1, ""type"": ""NUMERIC"", ""unit"": """", ""regex"": """", ""condition"": {}, ""initialize"": 8, ""imperial_unit"": null, ""alternative_unit"": null}, ""null_option_name"": ""Not Applicable""}","2025-11-17 14:41:16","2025-11-25 22:41:54",1,0,0,"","",0,"{}","{}","{}","{}",ALQ120U
6089,"14182","","","During the past 12 months, on those days that you drank alcoholic beverages, on the average, how many drinks did you have? By a drink, I mean a 12 oz. beer, a 5 oz. glass of wine, or one and a half ounces of liquor.",TEXT_INPUT,"[{}]","{}","{""TEXT"": {""max"": 25, ""min"": 1, ""step"": 1, ""type"": ""NUMERIC"", ""unit"": null, ""regex"": ""[0-9]"", ""condition"": {}, ""initialize"": 8, ""imperial_unit"": null, ""alternative_unit"": null}, ""null_option_name"": ""Not Applicable""}","2025-11-17 14:41:16","2025-11-25 22:41:31",1,0,0,"","",0,"{}","{}","{}","{}",ALQ130
6090,"14183","","","In the past 12 months, on how many days did you/have 5 or more drinks of any alcoholic beverage?",TEXT_INPUT,"[{}]","{}","{""TEXT"": {""max"": 365, ""min"": 0, ""step"": 1, ""type"": ""NUMERIC"", ""unit"": null, ""regex"": ""[0-9]"", ""condition"": {}, ""frequency"": [""Week"", ""Month"", ""Year""], ""initialize"": 8, ""imperial_unit"": null, ""alternative_unit"": null}, ""null_option_name"": ""Not Applicable""}","2025-11-17 14:41:17","2025-11-25 22:41:04",1,0,0,Please select the time frame and specify the approximate number of times.,"",0,"{}","{}","{}","{}",ALQ140Q
6091,"14184","","","In the past 12 months, on how many days did you/have 5 or more drinks of any alcoholic beverage?",NON_NUMERIC_SLIDER,"[{""text"": ""Week"", ""value"": ""1""}, {""text"": ""Month"", ""value"": ""2""}, {""text"": ""Year"", ""value"": ""3""}]","{}","{""TEXT"": {""max"": 2, ""min"": 0, ""step"": 1, ""type"": ""NUMERIC"", ""unit"": """", ""regex"": """", ""condition"": {}, ""initialize"": 8, ""imperial_unit"": null, ""alternative_unit"": null}, ""null_option_name"": ""Not Applicable""}","2025-11-17 14:41:17","2025-11-25 22:40:46",1,0,0,"","",0,"{}","{}","{}","{}",ALQ140U
6092,"14185","","",Was there ever a time or times in your life when you drank 5 or more drinks of any kind of alcoholic beverage almost every day?,SINGLE_CHOICE,"[{""text"": ""Yes"", ""value"": ""0""}, {""text"": ""No"", ""value"": ""1""}]","{}","{}","2025-11-17 14:41:17","2025-11-25 22:40:27",1,0,0,"","",0,"{}","{}","{}","{}",ALQ151
6093,"14186","","",Which statement best describes your hearing (without a hearing aid)?,NON_NUMERIC_SLIDER,"[{""text"": ""Excellent"", ""value"": ""1""}, {""text"": ""Good"", ""value"": ""2""}, {""text"": ""A little trouble"", ""value"": ""3""}, {""text"": ""Moderate hearing trouble"", ""value"": ""4""}, {""text"": ""A lot of trouble"", ""value"": ""5""}, {""text"": ""Deaf"", ""value"": ""6""}]","{}","{""TEXT"": {""max"": 5, ""min"": 0, ""step"": 1, ""type"": ""NUMERIC"", ""unit"": """", ""regex"": """", ""condition"": {}, ""initialize"": 8, ""imperial_unit"": null, ""alternative_unit"": null}, ""null_option_name"": ""Not Applicable""}","2025-11-17 14:41:18","2025-11-25 22:38:14",1,0,0,"","",0,"{}","{}","{}","{}",AUQ131
6094,"14187","","",Have you ever worn a hearing aid?,SINGLE_CHOICE,"[{""text"": ""Yes"", ""value"": ""0""}, {""text"": ""No"", ""value"": ""1""}]","{}","{}","2025-11-17 14:41:18","2025-11-25 22:37:40",1,0,0,"","",0,"{}","{}","{}","{}",AUQ150
6095,"14188","","",Have you ever had 3 or more ear infections? Please include ear infections you may have had when you were a child.,SINGLE_CHOICE,"[{""text"": ""Yes"", ""value"": ""0""}, {""text"": ""No"", ""value"": ""1""}]","{}","{}","2025-11-17 14:41:18","2025-11-25 22:37:24",1,0,0,"","",0,"{}","{}","{}","{}",AUQ136
6096,"14189","","",Have you ever had a tube placed in your ear to drain the fluid from your ear?,SINGLE_CHOICE,"[{""text"": ""Yes"", ""value"": ""0""}, {""text"": ""No"", ""value"": ""1""}]","{}","{}","2025-11-17 14:41:19","2025-11-25 22:37:03",1,0,0,"","",0,"{}","{}","{}","{}",AUQ138
